a-fortiori aforsïori
curable kyrabl^
curare kyrar
curateur kyrater
curatif kyratif
curative kyrativ
curatrice kyratris
curaçao kyraso
cure kyr
cure-dent kyrdâ
cure-oreille kyror%ï
cure-pipe kyrpip
curer kyré
curetage kyrtaj
curette kyr%t
curie kyri
curieuse kyrïEz
curieusement kyrïEzmâ
curieux kyrïE
curiosité kyrïozité
curiste kyrist^
curling kerli£
curriculum kyrikylom
curry kyri
curseur kyrser
cursif kyrsif
cursive kyrsiv
curule kyryl
curviligne kyrviliN
curé kyré
curée kyré
custode kystod
cutané kytané
cutanée kytané
cuti kyti
cuti-réaction kytiréaksïô
cuve kyv
cuvelage kyvlaj
cuver kyvé
cuvette kyv%t
cuvier kyvïé
cuvée kyvé
cyanhydrique sïanidrik
cyanose sïanoz
cyanure sïanyr
cybernéticien sib%rnétisïê
cybernéticienne sib%rnétisï%n
cybernétique sib%rnétik
cyclable siklabl^
cyclamen siklam%n
cycle sikl^
cyclique siklik
cyclisme siklism^
cycliste siklist^
cyclo-cross siklokros
cyclomoteur siklomoter
cyclomotoriste siklomotorist^
cyclone siklon
cyclopéen siklopéê
cyclopéenne siklopé%n
cyclotron siklotrô
cygne siN
cylindre silêdr^
cylindrer silêdré
cylindrique silêdrik
cylindrée silêdré
cymbale sêbal
cynique sinik
cyniquement sinikmâ
cynisme sinism^
cynocéphale sinoséfal
cynégétique sinéjétik
cyprin siprê
cyprès sipr%
cyrillique sirilik
cystite sistit
cystoscopie sistoskopi
cytise sitiz
cytologie sitoloji
cytoplasme sitoplasm^
czardas ksardas
câblage kablaj
câble kabl^
câbler kablé
câblerie kabl^ri
câblier kabliïé
câlin kalê
câline kalin
câliner kaliné
câlinerie kalinri
câpre kapr^
câprier kapriïé
cèdre s%dr^
cène s%n
cèpe s%p
céans séâ
cécité sésité
céder sédé
cédille sédiï
cédrat sédra
cédulaire sédyl%r
cégétiste séjétist^
céleri s%lri
célesta sél%sta
céleste sél%st^
célibat séliba
célibataire sélibat%r
célèbre sél%br^
célébrant sélébrâ
célébration sélébrasïô
célébrer sélébré
célébrité sélébrité
célérité sélérité
cénacle sénakl^
cénobite sénobit
cénotaphe sénotaf
cépage sépaj
céphalique séfalik
céphalopode séfalopod
céramique séramik
céramiste séramist^
cérumen sérym%n
céruse séryz
céréale séréal
céréalier séréalïé
céréalière séréalï%r
cérébral sérébral
cérébrale sérébral
cérébraux sérébro
cérébro-spinal sérébrospinal
cérébro-spinale sérébrospinal
cérébro-spinaux sérébrospino
cérémonial sérémonïal
cérémonie sérémoni
cérémonieuse sérémonïEz
cérémonieusement sérémonïEzmâ
cérémonieux sérémonïE
césarienne sézarï%n
césarisme sézarism^
césure sézyr
cétacé sétasé
cétone séton
côlon kolô
cône kon
côte kot
côtelette kotl%t
côtelé kotlé
côtelée kotlé
côtier kotïé
côtière kotï%r
côtoyer kot!aïé
côté koté
d'abord dabor
d'emblée dâblé
d'ores-et-déjà dorzédéja
dactylo daktilo
dactylographie daktilografi
dactylographier daktilografïé
dada dada
dadais dad%
dague dag
dahlia dalïa
daigner déNé
daim dê
dais d%
dalaï-lama dalailama
dallage dalaj
dalle dal
daller dalé
dalmatique dalmatik
daltonien daltonïê
daltonienne daltonï%n
dam dâ
damas dama
damasquiné damaskiné
damasquinée damaskiné
damassé damasé
damassée damasé
dame dam
dame-jeanne damjan
damer damé
damier damïé
damnation danasïô
damner dané
damné dané
damnée dané
dancing dâsi£
dandinement dâdinmâ
dandiner dâdiné
dandy dâdi
dandysme dâdism^
danger dâjé
dangereuse dâjrEz
dangereusement dâjrEzmâ
dangereux dâjrE
danois dan!a
danoise dan!az
dans dâ
dansant dâsâ
dansante dâsât
danse dâs
danser dâsé
danseur dâser
danseuse dâsEz
dantesque dât%sk^
dard dar
darder dardé
dare-dare dardar
darne darn^
dartre dartr^
dartreuse dartrEz
dartreux dartrE
datation datasïô
date dat
dater daté
dateur dater
dateuse datEz
datif datif
datte dat
dattier datïé
daube dob
dauphin dofê
dauphine dofin
dauphinoix dofin!a
daurade dorad
davantage davâtaj
davier davïé
de d^
de-visu dévizy
debout d^bu
dedans d^dâ
degré d^gré
dehors d^or
delco d%lko
delirium-tremens délirïomtrémês
delta d%lta
deltoïde d%ltoid
delà d^la
demain d^mê
demande d^mâd
demander d^mâdé
demanderesse d^mâdr%s
demandeur d^mâder
demandé d^mâdé
demandée d^mâdé
demeurant d^merâ
demeure d^mer
demeurer d^meré
demeuré d^meré
demeurée d^meré
demi d^mi
demi-cercle d^is%rkl^
demi-douzaine d^miduz%n
demi-finale d^mifinal
demi-fond d^mifô
demi-frère d^mifr%r
demi-jour d^mijur
demi-longueur d^milôger
demi-mal d^mimal
demi-mesure d^mimzyr
demi-mondaine d^mimôd%n
demi-monde d^mimôd
demi-mot d^mimo
demi-pension d^mipâsïô
demi-pensionnaire d^mipâsïon%r
demi-place d^miplas
demi-portion d^miporsïô
demi-saison d^mis%zô
demi-sel d^mis%l
demi-soeur d^miser
demi-solde d^misold^
demi-sommeil d^misom%ï
demi-soupir d^misupir
demi-tarif d^mitarif
demi-teinte d^mitêt
demi-ton d^mitô
demi-tour d^mitur
demie d^mi
demoiselle d^m!az%l
denier d^nïé
denrée dâré
dense dâs
densité dâsité
dent dâ
dentaire dât%r
dental dâtal
dentale dâtal
dentaux dâto
dentelle dât%l
dentellière dât%lï%r
dentelure dâtlyr
dentelé dâtlé
dentelée dâtlé
dentier dâtïé
dentifrice dâtifris
dentiste dâtist^
dentisterie dâtist^ri
dentition dâtisïô
denture dâtyr
denté dâté
dentée dâté
depuis d^p%i
derechef d^r^/%f
dermatologie d%rmatoloji
dermatologue d%rmatolog
derme d%rm^
dermique d%rmik
dernier d%rnïé
dernier-né d%rnïéné
dernière d%rnï%r
dernièrement d%rnï%rmâ
derrick d%rik
derrière d%rï%r
derviche d%rvi/
des d%
desceller désélé
descendance désâdâs
descendant désâdâ
descendante désâdât
descendeur désâder
descendre désâdr^
descente désât
descriptif d%skriptif
description d%skripsïô
descriptive d%skriptiv
desiderata dézidérata
despote d%spot
despotique d%spotik
despotisme d%spotism^
desquamation d%sk!amasïô
desquamer d%sk!amé
dessaisir désézir
dessaler désalé
dessein désê
desseller désélé
desserrage dés%raj
desserrer déséré
dessert dés%r
desserte dés%rt^
desservant dés%rvâ
desservir dés%rvir
dessiccation désikasïô
dessiller désiïé
dessin désê
dessinateur désinater
dessinatrice désinatris
dessiner désiné
dessiné désiné
dessinée désiné
dessouder désudé
dessous d^su
dessoûler désulé
dessus d^sy
dessèchement dés%/mâ
desséchant désé/â
desséchante désé/ât
dessécher désé/é
destin d%stê
destinataire d%stinat%r
destination d%stinasïô
destiner d%stiné
destinée d%stiné
destituer d%stit%é
destitution d%stitysïô
destrier d%striïé
destroyer d%str!aïé
destructeur d%strykter
destructible d%stryktibl^
destructif d%stryktif
destruction d%stryksïô
destructive d%stryktiv
destructrice d%stryktris
dette d%t
deuil deï
deus-ex-machina déys%ksmakina
deux dE
deux-pièces dEpï%s
deux-temps dEtâ
deuxième dEzï%m
deuxièmement dEzï%mmâ
devancer d^vâsé
devancier dévâsïé
devancière dévâsï%r
devant d^vâ
devanture d^vâtyr
devenir d^vnir
devin d^vê
deviner d^viné
devineresse d^vinr%s
devinette d^vin%t
devis d^vi
devise d^viz
deviser d^vizé
devoir d^v!ar
dextre d%kstr^
dextérité d%kstérité
deça d^sa
dia dïa
diable dïabl^
diablement dïabl^mâ
diablerie dïabl^ri
diablesse dïabl%s
diablotin dïablotê
diabolique dïabolik
diabolo dïabolo
diabète dïab%t
diabétique dïabétik
diacre dïakr^
diadème dïad%m
diagnostic dïagnostik
diagnostiquer dïagnostiké
diagonale dïagonal
diagramme dïagram
dialectal dïal%ktal
dialectale dïal%ktal
dialectaux dïal%kto
dialecte dïal%kt^
dialecticien dïal%ktisïê
dialecticienne dïal%ktisï%n
dialectique dïal%ktik
dialectiquement dïal%ktikmâ
dialectologie dïal%ktoloji
dialogue dïalog
dialoguer dïalogé
dialoguiste dïalogist^
diamant dïamâ
diamantaire dïamât%r
diamantifère dïamâtif%r
diamanté dïamâté
diamantée dïamâté
diamètre dïam%tr^
diamétralement dïamétralmâ
diantre dïâtr^
diapason dïapazô
diaphane dïafan
diaphragme dïafragm^
diapositive dïapozitiv
diaprure dïapryr
diapré dïapré
diaprée dïapré
diarrhée dïaré
diastase dïastaz
diastole dïastol
diatomique diatomik
diatomée dïatomé
diatribe dïatrib
dichotomie dikotomi
dichotomique dikotomik
dico diko
dicotylédone dikotilédon
dicotylédones dikotilédon
dictame diktam
dictaphone diktafon
dictateur diktater
dictatorial diktatorïal
dictatoriale diktatorïal
dictatoriaux diktatorïo
dictature diktatyr
dicter dikté
diction diksïô
dictionnaire diksïon%r
dicton diktô
dictée dikté
didactique didaktik
diesel dïéz%l
dieu dïE
diffamateur difamater
diffamation difamasïô
diffamatoire difamat!ar
diffamatrice difamatris
diffamer difamé
difficile difisil
difficilement difisilmâ
difficulté difikylté
difforme diform^
difformité diformité
diffraction difraksïô
diffus dify
diffuse difyz
diffuser difyzé
diffuseur difyzer
diffusion difyzïô
différemment diféramâ
différence diférâs
différenciateur diférâsïater
différenciation diférâsïasïô
différenciatrice diférâsïatris
différencier diférâsïé
différend diférâ
différent diférâ
différente diférât
différentiel diférâsï%l
différentielle diférâsï%l
différer diféré
différé diféré
différée diféré
digest dij%st
digeste dij%st^
digestibilité dij%stibilité
digestible dij%stibl^
digestif dij%stif
digestion dij%stïô
digestive dij%stif
digital dijital
digitale dijital
digitaux dijito
digitigrade dijitigrad
digitigrades dijitigrad
digne diN
dignement diNmâ
dignitaire diNit%r
dignité diNité
digression digrésïô
digue dig
digérer dijéré
diktat diktat
dilapidateur dilapidater
dilapidation dilapidasïô
dilapidatrice dilapidatris
dilapider dilapidé
dilatable dilatabl^
dilatation dilatasïô
dilater dilaté
dilatoire dilat!ar
dilemme dil%m
dilettante dilétât
dilettantisme dilétâtism^
diligemment dilijamâ
diligence dilijâs
diligent dilijâ
diligente dilijât
diluer dil%é
dilution dilysïô
diluvien dilyvïê
diluvienne dilyvïê
dimanche dimâ/
dimension dimâsïô
diminuer dimin%é
diminutif diminytif
diminution diminysïô
diminutive diminytiv
diminué dimin%é
diminuée dimin%é
dinanderie dinâdri
dinar dinar
dinde dêd
dindon dêdô
dindonneau dêdono
dindonner dêdoné
dinette din%t
ding di£
dinghy dingi
dingo dêgo
dingue dêg
dinguer dêgé
dinosaure dinozor
diocèse dïos%z
diocésain dïosézê
diocésaine dïoséz%n
dionysiaque dïonizïak
diphtongue diftôg
diphtérie diftéri
diphtérique diftérik
diplodocus diplodokys
diplomate diplomat
diplomatie diplomasi
diplomatique diplomatik
diplomatiquement diplomatikmâ
diplôme diplom
diplômé diplomé
diplômée diplomé
diptyque diptik
diptère dipt%r
dire dir
direct dir%kt
directe dir%kt^
directement dir%kt^mâ
directeur dir%kter
direction dir%ksïô
directive dir%ktiv
directoire dir%kt!ar
directorial dir%ktorïal
directoriale dir%ktorïal
directoriaux dir%ktorïal
directrice dir%ktris
dirigeable dirijabl^
dirigeant dirijâ
dirigeante dirijât
diriger dirijé
dirigisme dirijism^
dirigiste dirijist^
discernable dis%rnabl^
discernement dis%rn^mâ
discerner dis%rné
disciple disipl^
disciplinaire disiplin%r
discipline disiplin
discipliné disipliné
disciplinée disipliné
discobole diskobol
discontinu diskôtiny
discontinue diskôtiny
discontinuer diskôtin%é
discontinuité diskôtin%ité
disconvenir diskôvnir
discophile diskofil
discordance diskordâs
discordant diskordâ
discordante diskordât
discorde diskord^
discothèque diskot%k
discoureur diskurer
discoureuse diskurEz
discourir diskurir
discours diskur
discourtois diskurt!a
discourtoise diskurt!az
discret diskr%
discrimination diskriminasïô
discriminatoire diskriminat!ar
discriminer diskriminé
discrète diskr%t
discrètement diskr%tmâ
discrédit diskrédi
discréditer diskrédité
discrétion diskrésïô
discrétionnaire diskrésïon%r
disculpation diskylpasïô
disculper diskylpé
discursif diskyrsif
discursive diskyrsiv
discussion diskysïô
discutable diskytabl^
discuter diskyté
discuté diskyté
discutée diskyté
disert diz%r
diserte diz%rt^
disette diz%t
diseur dizer
diseuse dizEz
disgracier disgrasïé
disgracieuse disgrasïEz
disgracieux disgrasïE
disgracié disgrasïé
disgraciée disgrasïé
disgrâce disgras
disjoindre disj!êdr^
disjoint disj!ê
disjointe disj!êt
disjoncteur disjôkter
disjonction disjôksïô
dislocation dislokasïô
disloquer disloké
disparate disparat
disparaître dispar%tr^
disparition disparisïô
disparité disparité
disparu dispary
disparue dispary
dispendieuse dispâdïEz
dispendieux dispâdïE
dispensaire dispâs%r
dispense dispâs
dispenser dispâsé
disperser disp%rsé
dispersion disp%rsïô
disponibilité disponibilité
disponible disponibl^
dispos dispo
disposer dispozé
dispositif dispozitif
disposition dispozisïô
disposé dispozé
disposée dispozé
disproportion disproporsïô
disproportionné disproporsïoné
disproportionnée disproporsïoné
dispute dispyt
disputer dispyté
disquaire disk%r
disqualification diskalifikasïô
disqualifier diskalifïé
disque disk^
dissection dis%ksïô
dissemblable disâblabl^
dissemblance disâblâs
dissemination diséminasïô
dissension disâsïô
dissentiment disâtimâ
dissertation dis%rtasïô
disserter dis%rté
dissidence disidâs
dissident disidâ
dissidente disidât
dissimulateur disimylater
dissimulation disimylasïô
dissimulatrice disimylatris
dissimuler disimylé
dissimulé disimylé
dissimulée disimylé
dissipation disipasïô
dissiper disipé
dissipé disipé
dissipée disipé
dissociable disosïabl^
dissociation disosïasïô
dissocier disosïé
dissolu disoly
dissolue disoly
dissolution disolysïô
dissolvant disolvâ
dissolvante disolvât
dissonance disonâs
dissonant disonâ
dissonante disonât
dissoudre disudr^
dissuader dis%adé
dissuasion dis%azïô
dissyllabe disilab
dissyllabique disilabik
dissymétrie disimétri
dissymétrique disimétrik
disséminer diséminé
disséquer diséké
distance distâs
distancer distâsé
distant distâ
distante distât
distendre distâdr^
distillateur distilater
distillation distilasïô
distiller distilé
distillerie distilri
distinct distêkt
distincte distêkt^
distinctement distêkt^mâ
distinctif distêktif
distinction distêksïô
distinctive distêktiv
distinguer distêgé
distingué distêgé
distinguée distêgé
distique distik
distortion distorsïô
distraction distraksïô
distraire distr%r
distrait distr%
distraite distr%t
distraitement distr%tmâ
distrayant distr%ïâ
distrayante distr%ïât
distribuer distrib%é
distributeur distribyter
distribution distribysïô
distributrice distribytris
district distrikt
dit di
dite dit
dithyrambe ditirâb
dithyrambique ditirâbik
diurne dïyrn^
diurétique dïyrétik
diva diva
divagation divagasïô
divaguer divagé
divan divâ
divergence div%rjâs
divergent div%rjâ
divergente div%rjât
diverger div%rjé
divers div%r
diverse div%rs^
diversement div%rs^mâ
diversifier div%rsifïé
diversion div%rsïô
diversité div%rsité
divertir div%rtir
divertissant div%rtisâ
divertissante div%rtisât
divertissement div%rtismâ
dividende dividâd
divin divê
divination divinasïô
divinatoire divinat!ar
divine divin
divinement divinmâ
divinisation divinizasïô
diviniser divinizé
divinité divinité
diviser divizé
diviseur divizer
divisibilité divizibilité
divisible divizibl^
division divizïô
divorce divors^
divorcer divorsé
divorcé divorsé
divorcée divorsé
divulgation divylgasïô
divulguer divylgé
dix dis
dix-huit diz%it
dix-huitième diz%itï%m
dix-neuf diznef
dix-neuvième diznevï%m
dix-sept dis%t
dix-septième dis%tï%m
dixième dizï%m
dixièmement dizï%mmâ
dizaine diz%n
dièdre dï%dr^
dièse dï%z
diète dï%t
diéser dïézé
diététicien dïététisïê
diététicienne dïététisï%n
diététique dïététik
do do
docile dosil
docilement dosilmâ
docilité dosilité
dock dok
docker dok%r
docte dokt^
doctement dokt^mâ
docteur dokter
doctoral doktoral
doctorale doktoral
doctorat doktora
doctoraux doktoro
doctoresse doktor%s
doctrinaire doktrin%r
doctrinal doktrinal
doctrinale doktrinal
doctrinaux doktrino
doctrine doktrin
document dokymâ
documentaire dokymât%r
documentaliste dokymâtalist^
documentariste dokymâtarist^
documentation dokymâtasïô
documenter dokymâté
dodeliner dodliné
dodo dodo
dodu dody
dodue dody
dodécaphonique dodékafonik
dodécaphonisme dodékafonism^
dodécaphoniste dodékafonist^
doge doj
dogmatique dogmatik
dogmatiquement dogmatikmâ
dogmatiser dogmatizé
dogmatisme dogmatism^
dogme dogm^
dogue dog
doigt d!a
doigtier d!atïé
doigté d!até
dol dol
dolent dolâ
dolente dolât
dolichocéphale dolikoséfal
dollar dolar
dolmen dolm%n
doléances doléâs
dom dô
domaine dom%n
domanial domanïal
domaniale domanïal
domaniaux domanïo
domestication dom%stikasïô
domesticité dom%stisité
domestique dom%stik
domestiquer dom%stiké
domicile domisil
domiciliaire domisilï%r
domicilié domisilïé
domiciliée domisilïé
dominant dominâ
dominante dominât
dominateur dominater
domination dominasïô
dominatrice dominatris
dominer dominé
dominicain dominikê
dominicaine dominik%n
dominical dominikal
dominicale dominikal
dominicaux dominiko
dominion dominïon
domino domino
dommage domaj
dommageable domajabl^
dompter dôté
dompteur dôter
dompteuse dôtEz
don dô
don-juan dôj%â
don-quichotte dôki/ot
don-quichottisme dôki/otism^
dona doNa
donataire donat%r
donateur donater
donation donasïô
donatrice donatris
donc dôk
dondon dôdô
donjon dôjô
donjuanisme dôj%anism^
donne don
donner doné
donneur doner
donneuse donEz
donné doné
donnée doné
dont dô
donzelle dôz%l
dopage dopaj
doper dopé
doping dopi£
dorade dorad
dorage doraj
dorer doré
doreur dorer
doreuse dorEz
dorique dorik
dorloter dorloté
dormant dormâ
dormante dormât
dormeur dormer
dormeuse dormEz
dormir dormir
dorsal dorsal
dorsale dorsal
dorsaux dorso
dortoir dort!ar
dorure doryr
doryphore dorifor
doré doré
dorée doré
dorénavant dorénavâ
dos do
dosage dozaj
dose doz
doser dozé
doseur dozer
dossard dosar
dossier dosïé
dot dot
dotal dotal
dotale dotal
dotation dotasïô
dotaux doto
doter doté
douairière d!%rï%r
douane d!an
douanier d!anïé
douanière d!anï%r
doublage dublaj
double dubl^
doublement dubl^mâ
doubler dublé
doublet dubl%
doublure dublyr
douce dus
doucement dusmâ
doucereuse dusrEz
doucereux dusrE
doucettement dus%tmâ
douceur duser
douceâtre dusatr^
douche du/
doucher du/é
douer d!é
douille duï
douillet duï%
douillette duï%t
douillettement duï%tmâ
douilletterie duï%tri
douleur duler
douloureuse dulurEz
douloureusement dulurEzmâ
douloureux dulurE
doute dut
douter duté
douteuse dutEz
douteusement dutEzmâ
douteux dutE
douve duv
doux du
douzaine duz%n
douze duz
douzième duzï%m
douzièmement duzï%mmâ
doué d!é
douée d!é
doyen d!aïê
doyenne d!aï%n
drachme drakm^
draconien drakonïê
draconienne drakonï%n
dragage dragaj
dragon dragô
dragonne dragon
drague drag
draguer dragé
dragueur drager
dragueuse dragEz
dragée drajé
drain drê
drainage dr%naj
drainer dréné
draisienne dr%zï%n
drakkar drakar
dramatique dramatik
dramatiquement dramatikmâ
dramatisation dramatizasïô
dramatiser dramatizé
dramaturge dramatyrj^
drame dram
drap dra
drapeau drapo
draper drapé
draperie drapri
drapier drapïé
drapière drapï%r
dressage dr%saj
dresser drésé
dresseur dr%ser
dresseuse dr%sEz
dressoir dr%s!ar
dribble dribl^
dribbler driblé
drille driï
dring dri£
drive draïv
drogue drog
droguer drogé
droguerie drogri
droguiste drogist^
droite dr!at
droitier dr!atïé
droitière dr!atï%r
droiture dr!atyr
drolatique drolatik
dromadaire dromad%r
dru dry
drue dry
drug-store dregstor
drugstore dregstor
druide dr%id
druidique dr%idik
dry draï
dryade driïad
drôle drol
drôlement drolmâ
drôlerie drolri
drôlesse drol%s
du dy
dualisme d%alism^
dualiste d%alist^
dualité d%alité
dubitatif dybitatif
dubitative dybitativ
duc dyk
ducal dykal
ducale dykal
ducasse dykas
ducat dyka
ducaux dyko
duce dut/é
duchesse dy/%s
duché dy/é
ductile dyktil
due dy
duel d%%l
duettiste d%étist^
duffel-coat defelkot
dulcinée dylsiné
dune dyn
dunette dyn%t
duo d%o
duodécimal d%odésimal
duodécimale d%odésimal
duodécimaux d%odésimo
duodénal d%odénal
duodénale d%odénal
duodénaux d%odéno
duodénum d%odénom
dupe dyp
duper dypé
duperie dypri
duplex dypl%ks
duplicata dyplikata
duplicateur dyplikater
duplicité dyplisité
duquel dyk%l
dur dyr
durable dyrabl^
durablement dyrabl^mâ
duralumin dyralymê
durant dyrâ
durcir dyrsir
durcissement dyrsismâ
dure dyr
durement dyrmâ
durer dyré
dureté dyrté
durillon dyriïô
durit dyrit
durée dyré
duvet dyv%
duveter dyvté
duveteuse dyvtEz
duveteux dyvtE
duveté dyvté
duvetée dyvté
duègne d%%N
dynamique dinamik
dynamisme dinamism^
dynamitage dinamitaj
dynamite dinamit
dynamiter dinamité
dynamiteur dinamiter
dynamiteuse dinamitEz
dynamo dinamo
dynamomètre dinamom%tr^
dynastie dinasti
dynastique dinastik
dysenterie disâtri
dyspepsie disp%psi
dèche d%/
dès d%
déambulation déâbylasïô
déambuler déâbylé
déballage débalaj
déballer débalé
débandade débâdad
débander débâdé
débaptiser débatizé
débarbouiller débarbuïé
débarcadère débarkad%r
débardeur débarder
débarquement débark^mâ
débarquer débarké
débarras débara
débarrasser débarasé
débat déba
débattre débatr^
débauchage débo/aj
débauche débo/
débauché débo/é
débauchée débo/é
débile débil
débilitant débilitâ
débilitante débilitât
débiliter débilité
débilité débilité
débine débin
débiner débiné
débit débi
débitant débitâ
débitante débitât
débiter débité
débiteur débiter
débitrice débitris
déblaiement débl%mâ
déblais débl%
déblatérer déblatéré
déblayage débl%ïaj
déblayer débléïé
déblocage déblokaj
débloquer débloké
déboire déb!ar
déboisement déb!azmâ
déboiser déb!azé
débonder débôdé
débonnaire débon%r
débordant débordâ
débordante débordât
débordement débord^mâ
déborder débordé
débordé débordé
débordée débordé
débouchage débu/aj
déboucher débu/é
débouché débu/é
déboucler débuklé
déboulonner débuloné
débourser débursé
déboussoler débusolé
débouter débuté
déboutonner débutoné
déboîtement déb!atmâ
déboîter déb!até
débraillé débraïé
débraillée débraïé
débrancher débrâ/é
débrayage débr%ïaj
débrayer débréïé
débrider débridé
débridé débridé
débridée débridé
débris débri
débrouillard débruïar
débrouillarde débruïard^
débrouillardise débruïardiz
débrouiller débruïé
débroussailler débrusaïé
débusquer débyské
début déby
débutant débytâ
débutante débytât
débuter débyté
débâcle débakl^
décacheter déka/té
décade dékad
décadence dékadâs
décadent dékadâ
décadente dékadât
décaféiner dékaféiné
décalage dékalaj
décalcifiant dékalsifïâ
décalcifiante dékalsifïât
décalcification dékalsifikasïô
décalcifier dékalsifïé
décalcomanie dékalkomani
décaler dékalé
décalquage dékalkaj
décalque dékalk^
décalquer dékalké
décamper dékâpé
décaniller dékaniïé
décanter dékâté
décapage dékapaj
décapant dékapâ
décaper dékapé
décapitation dékapitasïô
décapiter dékapité
décapotable dékapotabl^
décapoter dékapoté
décarcasser dékarkasé
décatir dékatir
décavé dékavé
décavée dékavé
déceler d%slé
décembre désâbr^
décemment désamâ
décence désâs
décent désâ
décente désât
décentralisation désâtralizasïô
décentraliser désâtralizé
déception dés%psïô
décerner dés%rné
décevant d%svâ
décevante d%svât
décevoir d%sv!ar
déchanter dé/âté
décharge dé/arj^
déchargement dé/arj^mâ
décharger dé/arjé
décharner dé/arné
déchausser dé/osé
déchaînement dé/%nmâ
déchaîner dé/%né
déchaîné dé/%né
déchaînée dé/%né
déchet dé/%
déchiffrable dé/ifrabl^
déchiffrage dé/ifraj
déchiffrer dé/ifré
déchiqueter dé/ikté
déchirant dé/irâ
déchirante dé/irât
déchirement dé/irmâ
déchirer dé/iré
déchirure dé/iryr
déchoir dé/!ar
déchristianisation dékristïanizasïô
déchristianiser dékristïanizé
déchu dé/y
déchue dé/y
déchéance dé/éâs
décider désidé
décidé désidé
décidée désidé
décidément désidémâ
décimal désimal
décimale désimal
décimaux désimo
décimer désimé
décisif désizif
décision désizïô
décisive désiziv
déclamation déklamasïô
déclamatoire déklamat!ar
déclamer déklamé
déclaration déklarasïô
déclarer déklaré
déclaré déklaré
déclarée déklaré
déclasser déklasé
déclenchement déklâ/mâ
déclencher déklâ/é
déclic déklik
déclin déklê
déclinable déklinabl^
déclinaison déklin%zô
déclinant déklinâ
déclinante déklinât
décliner dékliné
déclivité déklivité
déclouer déklué
décocher déko/é
décoction dékoksïô
décoiffer dék!afé
décoincer dék!êsé
décollage dékolaj
décollement dékolmâ
décoller dékolé
décolleter dékolté
décolleté dékolté
décolletée dékolté
décolonisation dékolonizasïô
décoloniser dékolonizé
décolorant dékolorâ
décolorante dékolorât
décoloration dékolorasïô
décolorer dékoloré
décolérer dékoléré
décombres dékôbr^
décommander dékomâdé
décomposable dékôpozabl^
décomposer dékôpozé
décomposition dékôpozisïô
décompression dékôprésïô
décompte dékôt
décompter dékôté
déconcertant dékôs%rtâ
déconcertante dékôs%rtât
déconcerter dékôs%rté
déconfit dékôfi
déconfite dékôfit
déconfiture dékôfityr
décongestionner dékôj%stïoné
déconseiller dékôséïé
déconsidérer dékôsidéré
décontenancer dékôtnâsé
décontracter dékôtrakté
décontraction dékôtraksïô
décontracté dékôtrakté
décontractée dékôtrakté
déconvenue dékôvny
décor dékor
décorateur dékorater
décoratif dékoratif
décoration dékorasïô
décorative dékorativ
décoratrice dékoratris
décorer dékoré
décorticage dékortikaj
décortiquer dékortiké
décorum dékorom
découcher déku/é
découdre dékudr^
découler dékulé
découpage dékupaj
découper dékupé
découplé dékuplé
découplée dékuplé
découpure dékupyr
décourageant dékurajâ
décourageante dékurajât
découragement dékurajmâ
décourager dékurajé
décousu dékuzy
décousue dékuzy
découvert dékuv%r
découverte dékuv%rt^
découvrir dékuvrir
décrassage dékrasaj
décrasser dékrasé
décret dékr%
décrire dékrir
décrié dékriïé
décriée dékriïé
décrochage dékro/aj
décrocher dékro/é
décroiser dékr!azé
décroissance dékr!asâs
décroissant dékr!asâ
décroissante dékr!asât
décrotter dékroté
décrottoir dékrot!ar
décroître dékr!atr^
décrépir dékrépir
décrépit dékrépi
décrépite dékrépit
décrépitude dékrépityd
décréter dékrété
déculotter dékyloté
décupler dékyplé
décès dés%
décéder désédé
décélération désélérasïô
dédaignable déd%Nabl^
dédaigner dédéNé
dédaigneuse déd%NEz
dédaigneusement déd%NEzmâ
dédaigneux déd%NE
dédain dédê
dédale dédal
dédicace dédikas
dédicacer dédikasé
dédier dédïé
dédire dédir
dédit dédi
dédommagement dédomajmâ
dédommager dédomajé
dédouaner déd!ané
dédoublement dédubl^mâ
dédoubler dédublé
déductible dédyktibl^
déduction dédyksïô
déduire déd%ir
déesse dé%s
défaillance défaïâs
défaillant défaïâ
défaillante défaïât
défaillir défaïir
défaire déf%r
défait déf%
défaite déf%t
défaitisme défétism^
défaitiste défétist^
défalcation défalkasïô
défalquer défalké
défaut défo
défaveur défaver
défavorable défavorabl^
défavorablement défavorabl^mâ
défavoriser défavorizé
défectif déf%ktif
défection déf%ksïô
défective déf%ktiv
défectueuse déf%kt%Ez
défectueux déf%kt%E
défectuosité déf%kt%ozité
défendable défâdabl^
défendre défâdr^
défense défâs
défenseur défâser
défensif défâsif
défensive défâsiv
déferlement déf%rl^mâ
déferler déf%rlé
déferrer déféré
défi défi
défiance défïâs
défiant défïâ
défiante défïât
déficience défisïâs
déficient défisïâ
déficiente défisïât
déficit défisit
déficitaire défisit%r
défier défïé
défigurer défigyré
défiler défilé
défilé défilé
défini défini
définie défini
définir définir
définissable définisabl^
définitif définitif
définition définisïô
définitive définitiv
définitivement définitivmâ
déflagration déflagrasïô
déflation déflasïô
déflorer défloré
défoncer défôsé
défoncé défôsé
défoncée défôsé
déformant déformâ
déformante déformât
déformation déformasïô
déformer déformé
défoulement défulmâ
défouler défulé
défrayer défréïé
défraîchir défré/ir
